Categoria: Todas as categorias

Região,bb básico: (01/01/2004 – 30/06/2023),bbbasico: (01/01/2004 – 30/06/2023),bebe basico: (01/01/2004 – 30/06/2023),bb basico: (01/01/2004 – 30/06/2023),bb basico lojas: (01/01/2004 – 30/06/2023)
Rio de Janeiro,11%,6%,46%,34%,3%
Distrito Federal,14%,,46%,40%,
Bahia,13%,,59%,28%,
Minas Gerais,5%,,65%,30%,
São Paulo,9%,9%,42%,36%,4%
Tocantins,,,,,
Goiás,,,,,
Alagoas,,,,,
Santa Catarina,,,,,
Pará,,,,,
Espírito Santo,,,,,
Maranhão,,,,,
Paraíba,,,,,
Rio Grande do Sul,,,,,
Rio Grande do Norte,,,,,
Mato Grosso do Sul,,,,,
Ceará,,,,,
Paraná,,,,,
Pernambuco,,,,,
Acre,,,,,
Amazonas,,,,,
Amapá,,,,,
Mato Grosso,,,,,
Piauí,,,,,
Rondônia,,,,,
Roraima,,,,,
Sergipe,,,,,
