Categoria: Todas as categorias

Mês,bb básico: (Brasil),bbbasico: (Brasil),bebe basico: (Brasil),bb basico: (Brasil),bb basico lojas: (Brasil)
2004-01,0,0,73,0,0
2004-02,0,0,0,0,0
2004-03,100,64,0,0,0
2004-04,44,0,50,0,0
2004-05,0,0,0,0,0
2004-06,0,0,52,0,0
2004-07,0,0,88,0,0
2004-08,0,0,57,38,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,37,0,0,64,69
2004-12,0,37,0,0,0
2005-01,0,57,0,0,0
2005-02,60,0,0,0,0
2005-03,0,0,0,0,73
2005-04,0,0,0,48,42
2005-05,0,38,23,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,24,28,0,0
2005-09,71,0,24,0,0
2005-10,0,0,0,0,0
2005-11,0,0,61,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,39,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,11,0,0,14,0
2006-06,0,0,0,0,0
2006-07,0,38,0,0,0
2006-08,0,0,0,0,0
2006-09,27,0,0,0,0
2006-10,0,0,0,0,0
2006-11,12,0,0,0,0
2006-12,25,0,0,0,0
2007-01,0,0,0,38,0
2007-02,0,0,0,0,0
2007-03,10,0,0,0,0
2007-04,0,0,9,0,0
2007-05,7,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,8,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,5,9,9,6,0
2007-11,0,0,5,9,0
2007-12,0,0,10,0,0
2008-01,0,0,5,17,0
2008-02,5,0,0,8,0
2008-03,0,0,10,0,0
2008-04,0,0,0,0,13
2008-05,0,0,4,0,0
2008-06,0,6,0,0,0
2008-07,0,0,0,0,0
2008-08,0,6,0,0,0
2008-09,0,0,4,0,0
2008-10,0,0,7,0,0
2008-11,0,0,0,6,11
2008-12,0,5,10,0,0
2009-01,0,14,0,0,7
2009-02,0,0,7,0,0
2009-03,0,0,0,0,0
2009-04,0,5,5,4,4
2009-05,0,6,10,0,0
2009-06,0,0,5,0,0
2009-07,0,0,14,7,0
2009-08,0,0,4,0,0
2009-09,0,4,6,0,4
2009-10,0,8,4,3,9
2009-11,9,5,11,0,0
2009-12,5,0,6,5,0
2010-01,0,0,7,0,0
2010-02,0,5,8,12,8
2010-03,0,0,4,4,0
2010-04,0,0,17,0,4
2010-05,0,0,8,0,0
2010-06,0,0,14,0,0
2010-07,0,0,14,6,0
2010-08,0,3,7,0,0
2010-09,0,0,7,0,0
2010-10,0,0,3,4,0
2010-11,0,6,0,0,12
2010-12,21,0,4,0,0
2011-01,0,10,11,0,0
2011-02,0,0,11,0,0
2011-03,0,0,13,3,4
2011-04,0,0,5,1,0
2011-05,0,1,8,3,0
2011-06,0,0,14,0,0
2011-07,0,1,13,0,0
2011-08,0,1,10,2,0
2011-09,0,0,17,1,0
2011-10,0,0,11,2,0
2011-11,0,0,11,0,0
2011-12,0,0,8,2,0
2012-01,0,0,9,2,0
2012-02,0,0,13,0,1
2012-03,0,0,13,0,0
2012-04,0,2,9,1,0
2012-05,0,0,9,0,0
2012-06,0,2,12,0,3
2012-07,0,0,15,3,0
2012-08,0,0,9,2,2
2012-09,3,2,16,4,1
2012-10,3,0,10,5,0
2012-11,0,2,14,1,1
2012-12,0,0,10,1,0
2013-01,0,1,17,1,0
2013-02,0,0,7,1,0
2013-03,0,0,11,1,0
2013-04,0,0,13,3,0
2013-05,1,0,11,3,2
2013-06,0,0,15,5,0
2013-07,0,1,9,0,0
2013-08,0,0,7,3,1
2013-09,0,0,10,3,1
2013-10,0,1,7,4,0
2013-11,1,5,12,1,0
2013-12,0,1,3,2,0
2014-01,0,0,9,3,0
2014-02,0,0,11,3,0
2014-03,1,0,8,4,0
2014-04,0,1,10,3,0
2014-05,1,0,15,2,0
2014-06,3,2,12,3,0
2014-07,0,0,10,4,0
2014-08,0,2,7,1,0
2014-09,0,0,6,2,0
2014-10,0,0,7,2,0
2014-11,0,2,11,2,1
2014-12,0,2,10,5,1
2015-01,0,0,12,5,0
2015-02,0,3,9,4,0
2015-03,0,1,12,4,1
2015-04,0,2,11,1,0
2015-05,0,1,11,5,1
2015-06,0,1,8,5,0
2015-07,0,1,13,6,0
2015-08,0,2,14,4,0
2015-09,0,1,10,6,0
2015-10,0,2,12,10,0
2015-11,0,1,14,4,1
2015-12,0,3,13,7,1
2016-01,0,1,14,7,0
2016-02,0,0,11,6,1
2016-03,0,3,14,6,1
2016-04,0,4,14,5,0
2016-05,1,2,13,6,1
2016-06,0,0,11,8,2
2016-07,0,2,8,6,0
2016-08,0,2,12,8,0
2016-09,0,2,14,8,2
2016-10,0,0,10,8,0
2016-11,0,2,15,10,2
2016-12,1,0,8,8,2
2017-01,0,1,10,9,0
2017-02,0,0,11,5,1
2017-03,0,2,10,7,0
2017-04,0,0,10,8,1
2017-05,0,1,10,11,1
2017-06,0,1,10,8,2
2017-07,2,2,14,14,1
2017-08,0,3,15,9,1
2017-09,0,2,13,7,2
2017-10,0,2,10,7,0
2017-11,0,1,12,6,0
2017-12,0,2,10,8,0
2018-01,0,4,12,7,1
2018-02,0,2,11,10,1
2018-03,0,2,8,8,0
2018-04,0,3,9,11,1
2018-05,0,1,9,7,0
2018-06,0,1,10,9,1
2018-07,0,2,10,7,1
2018-08,0,1,6,7,0
2018-09,0,3,7,9,3
2018-10,0,1,9,10,1
2018-11,0,1,11,11,1
2018-12,0,3,13,14,2
2019-01,0,1,9,8,1
2019-02,1,2,16,10,2
2019-03,0,2,8,6,1
2019-04,0,2,7,7,1
2019-05,0,1,9,9,0
2019-06,0,1,7,9,1
2019-07,0,2,11,6,1
2019-08,0,1,10,8,0
2019-09,0,2,9,7,2
2019-10,0,0,11,7,1
2019-11,0,2,9,7,1
2019-12,0,0,9,8,1
2020-01,0,1,8,7,1
2020-02,0,1,9,10,1
2020-03,0,1,6,6,0
2020-04,0,2,9,6,0
2020-05,0,2,11,8,0
2020-06,0,1,7,6,0
2020-07,0,2,9,6,0
2020-08,0,1,6,10,1
2020-09,0,0,8,6,0
2020-10,0,0,5,6,<1
2020-11,0,0,7,5,0
2020-12,0,1,8,6,0
2021-01,0,0,5,6,0
2021-02,0,1,6,6,1
2021-03,0,1,6,4,<1
2021-04,0,2,6,4,1
2021-05,1,2,6,6,1
2021-06,0,1,6,6,0
2021-07,0,1,6,6,1
2021-08,1,2,5,5,0
2021-09,0,1,5,2,0
2021-10,0,1,8,4,1
2021-11,0,1,5,7,1
2021-12,0,1,7,5,0
2022-01,7,1,6,6,1
2022-02,10,0,5,6,0
2022-03,8,1,6,5,0
2022-04,9,1,6,6,1
2022-05,10,1,5,5,1
2022-06,8,1,7,4,0
2022-07,7,0,6,4,0
2022-08,7,1,5,4,0
2022-09,8,1,4,4,0
2022-10,9,1,4,4,1
2022-11,8,2,4,4,1
2022-12,8,1,4,4,1
2023-01,7,0,6,4,1
2023-02,8,0,5,4,0
2023-03,5,0,4,4,1
2023-04,8,0,5,3,0
2023-05,8,1,5,4,0
2023-06,8,0,5,5,1
